trip_id,started_at,ended_at,start_lat,start_lng,end_lat,end_lng
210,01-02-2023 06:42,01-02-2023 06:51,38.894832,-76.987633,38.884916,-77.005965
211,01-02-2023 06:42,01-02-2023 06:53,38.942594,-77.0326875,38.923389,-77.051833
212,01-02-2023 06:42,01-02-2023 06:54,38.8904635,-76.98833983,38.894514,-77.031617
213,01-02-2023 06:42,01-02-2023 06:56,38.894972,-77.003135,38.886266,-77.022241
214,01-02-2023 06:43,01-02-2023 06:45,38.88076073,-77.0057407,38.884916,-77.005965
215,01-02-2023 06:43,01-02-2023 06:49,38.90864,-77.02277,38.90113645,-77.03445107
216,01-02-2023 06:43,01-02-2023 06:49,38.9154,-77.0446,38.903584,-77.044789
217,01-02-2023 06:43,01-02-2023 06:56,38.923583,-77.050046,38.916787,-77.028139
218,01-02-2023 06:44,01-02-2023 06:48,38.86,-77.05,38.86,-77.05
219,01-02-2023 06:44,01-02-2023 06:49,38.89485333,-76.99596667,38.889988,-76.995193
220,01-02-2023 06:44,01-02-2023 06:50,38.899984,-76.992725,38.89696,-77.00493
221,01-02-2023 06:44,01-02-2023 06:50,38.899984,-76.992725,38.89696,-77.00493
222,01-02-2023 06:44,01-02-2023 06:51,38.915544,-77.038252,38.903658,-77.031737
223,01-02-2023 06:44,01-02-2023 06:52,38.9170415,-77.09576033,38.91261359,-77.07432264
224,01-02-2023 06:44,01-02-2023 06:56,38.917637,-77.01597133,38.897108,-77.011616
225,01-02-2023 06:45,01-02-2023 06:48,38.9154,-77.0446,38.908905,-77.04478
226,01-02-2023 06:45,01-02-2023 06:51,38.889955,-77.000349,38.876751,-77.000736
227,01-02-2023 06:45,01-02-2023 06:59,38.917622,-77.01597,38.932128,-77.0235
228,01-02-2023 06:45,01-02-2023 06:59,38.89994163,-76.99489653,38.8997,-77.023086
229,01-02-2023 06:46,01-02-2023 06:47,38.89696,-77.00493,38.89696,-77.00493
230,01-02-2023 06:46,01-02-2023 06:52,38.905303,-77.050264,38.902204,-77.04337
231,01-02-2023 06:46,01-02-2023 06:52,38.90731645,-77.00069815,38.90042674,-76.98825002
232,01-02-2023 06:46,01-02-2023 06:54,38.901755,-77.051084,38.915544,-77.038252
233,01-02-2023 06:46,01-02-2023 06:55,38.89696,-77.00493,38.876751,-77.000736
234,01-02-2023 06:46,01-02-2023 07:23,38.985404,-77.023082,38.961763,-77.085998
235,01-02-2023 06:47,01-02-2023 06:51,38.900412,-77.001949,38.90293157,-76.99840486
236,01-02-2023 06:47,01-02-2023 06:58,38.897274,-76.994749,38.910972,-77.00495
237,01-02-2023 06:48,01-02-2023 06:52,38.92260267,-77.07026267,38.91261359,-77.07432264
238,01-02-2023 06:48,01-02-2023 06:52,38.9126,-77.0135,38.91417364,-77.02159524
239,01-02-2023 06:48,01-02-2023 06:52,38.889966,-77.00044417,38.89696,-77.00493
240,01-02-2023 06:48,01-02-2023 07:01,38.89702317,-77.00492367,38.879819,-77.037413
241,01-02-2023 06:48,01-02-2023 07:08,38.89696,-77.00493,38.893511,-77.041544
242,01-02-2023 06:48,01-02-2023 07:09,38.93194,-77.03877567,38.936298,-77.087128
243,01-02-2023 06:49,01-02-2023 06:58,38.928552,-77.032224,38.9086,-77.0323
244,01-02-2023 06:49,01-02-2023 07:02,38.912659,-77.017669,38.89696,-77.00493
245,01-02-2023 06:50,01-02-2023 06:59,38.90864,-77.02277,38.903819,-77.011987
246,01-02-2023 06:50,01-02-2023 07:00,38.9024,-77.02622,38.89830174,-77.04691261
247,01-02-2023 06:50,01-02-2023 07:03,38.885908,-76.991476,38.885908,-76.991476
248,01-02-2023 06:51,01-02-2023 06:56,38.861056,-77.049417,38.87056105,-77.04409495
249,01-02-2023 06:51,01-02-2023 07:02,38.88992,-77.071301,38.9076926,-77.07151249
250,01-02-2023 06:51,01-02-2023 07:06,38.91,-77.02,38.916442,-77.0682
251,01-02-2023 06:52,01-02-2023 06:55,38.90273216,-76.99514991,38.90546971,-77.00213045
252,01-02-2023 06:52,01-02-2023 06:56,38.93,-76.99,38.93,-76.99
253,01-02-2023 06:53,01-02-2023 07:02,38.88732,-76.983569,38.887378,-77.001955
254,01-02-2023 06:53,01-02-2023 07:02,38.91417364,-77.02159524,38.90244373,-77.00824589
255,01-02-2023 06:53,01-02-2023 07:06,38.90864,-77.02277,38.90071063,-77.04644859
256,01-02-2023 06:53,01-02-2023 07:08,38.80704,-77.059817,38.832431,-77.049772
257,01-02-2023 06:54,01-02-2023 06:59,38.912652,-77.036278,38.90276,-77.03863
258,01-02-2023 06:54,01-02-2023 07:04,38.9121,-77.0387,38.921074,-77.031887
259,01-02-2023 06:55,01-02-2023 07:02,38.915544,-77.038252,38.90088,-77.048911
260,01-02-2023 06:55,01-02-2023 07:05,38.903649,-77.034918,38.9190185,-77.034449
261,01-02-2023 06:55,01-02-2023 07:05,38.917622,-77.01597,38.91693645,-77.02963114
